,case_id,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
23,EZYV6869,North America,2,Y,N,833,1950,Midwest,70573.43,4,N,1
24,EZYV20959,Europe,1,Y,N,734,1881,West,44179.02,4,Y,1
25,EZYV24374,Africa,1,Y,N,324,1916,Northeast,334.0798,1,Y,1
26,EZYV5200,Oceania,2,Y,N,1747,1998,Midwest,52132.3,4,Y,1
27,EZYV6903,Asia,1,Y,Y,139221,1951,West,58458.59,4,Y,1
28,EZYV4586,Europe,2,N,N,1559,1974,West,12390.69,4,Y,1
29,EZYV25039,Asia,4,Y,N,4143,1931,West,3827.62,4,Y,1
30,EZYV9893,Asia,3,Y,N,3183,2001,Island,65505.02,4,Y,0
31,EZYV22465,Asia,1,N,N,2265,2001,South,81492.52,4,Y,1
32,EZYV10225,Asia,1,N,Y,190,1984,South,112232.58,4,Y,1
33,EZYV6529,Asia,2,N,N,1250,1998,Northeast,125470.03,4,Y,1
34,EZYV16321,Asia,3,N,N,298,2008,Midwest,229874.06,4,Y,1
35,EZYV4418,Asia,1,Y,N,1536,2004,Northeast,35335.48,4,Y,1
36,EZYV543,Asia,2,N,N,3736,2001,Northeast,90951.06,4,Y,0
37,EZYV14077,Asia,1,Y,N,303,1998,South,64238.39,4,Y,1
38,EZYV6435,South America,4,Y,N,3241,2012,West,14362.91,4,Y,1
39,EZYV17543,Asia,2,N,N,3353,1979,South,172098.04,4,Y,1
40,EZYV5546,Africa,1,N,N,2512,1968,Midwest,52.8519,1,Y,0
41,EZYV22157,Asia,1,Y,N,2223,1907,South,117988.44,4,Y,0
42,EZYV13772,North America,2,Y,N,24951,1983,West,3743.28,4,Y,1
43,EZYV12055,Europe,2,Y,N,2302,2005,South,45329.68,4,Y,1
44,EZYV6689,Europe,1,Y,N,1730,2010,West,83986.72,4,Y,1
45,EZYV6071,Asia,1,N,N,3414,2003,Northeast,36686.03,4,Y,1
46,EZYV10433,Asia,2,Y,N,2320,2006,Northeast,781.2903,1,Y,1
47,EZYV25230,North America,1,N,N,974,1956,Northeast,173854.46,4,N,0
48,EZYV6511,North America,2,N,N,922,1987,Midwest,309.606,1,Y,0
49,EZYV9843,Asia,2,N,N,867,2007,Midwest,142122.62,4,Y,1
50,EZYV8199,Oceania,3,Y,N,3000,2008,West,66173.63,4,Y,1
51,EZYV18636,North America,2,Y,N,3819,1977,Northeast,86371.84,4,Y,0
52,EZYV5360,North America,2,Y,N,567,2001,South,43688.68,4,Y,1
53,EZYV2320,Europe,2,Y,Y,255,2001,West,127772.02,4,Y,1
54,EZYV8623,Asia,2,Y,N,506,2012,South,80952.37,4,Y,1
55,EZYV10921,Asia,4,N,N,1415,2008,Northeast,151152.74,4,Y,1
56,EZYV20928,Asia,1,N,N,953,1838,Northeast,66379.39,4,N,0
57,EZYV3063,North America,1,N,N,2958,2005,South,64913.28,4,Y,0
58,EZYV16638,Asia,1,N,N,2566,1849,Northeast,124581.3,4,Y,0
59,EZYV1007,South America,3,N,N,518,2001,Midwest,98771.74,4,Y,1
60,EZYV21845,Africa,2,Y,N,22952,1970,West,71122.57,4,Y,1
61,EZYV10264,Asia,2,N,Y,836,2006,South,68641.46,4,Y,1
62,EZYV20330,Asia,1,Y,N,2961,1946,Northeast,86613.17,4,Y,1
63,EZYV19454,Europe,1,N,N,3110,1996,West,128547.56,4,Y,1
64,EZYV11289,Asia,1,N,N,3571,2004,Midwest,60766.49,4,Y,1
65,EZYV19913,North America,4,N,N,4581,1849,Northeast,26806.2,4,Y,0
66,EZYV20183,Asia,2,Y,N,405,2006,Midwest,185591.66,4,Y,1
67,EZYV2248,Asia,4,Y,Y,1929,2012,South,148048.43,4,Y,1
68,EZYV14931,Asia,2,N,N,4233,1857,West,37763.22,4,Y,1
69,EZYV6917,Asia,1,Y,N,1036,1967,Northeast,116941.02,4,N,0
70,EZYV24975,North America,2,N,N,2205,1996,West,49920.41,4,Y,1
71,EZYV5876,Asia,1,N,N,996,1998,Midwest,88775.9,4,Y,0
72,EZYV20300,Asia,3,N,N,2505,1962,Midwest,158427.09,4,Y,1
73,EZYV24098,Asia,2,Y,N,2349,2010,West,139522.55,4,Y,0
74,EZYV6813,Asia,2,Y,N,2627,1978,Midwest,78053.33,4,Y,1
75,EZYV22616,Asia,2,Y,Y,268,1989,Northeast,908.937,1,Y,0
76,EZYV15534,Asia,2,N,N,2207,2007,Midwest,37273.97,4,Y,1
77,EZYV22331,Europe,2,Y,N,4143,2004,West,67349.98,4,Y,1
78,EZYV4715,Europe,2,Y,Y,2089,1998,West,72354.83,4,Y,1
79,EZYV3438,Asia,1,Y,N,387,1998,West,89679.18,4,Y,1
80,EZYV15802,Europe,2,Y,N,1767,1999,South,38732.88,4,Y,1
81,EZYV8338,Asia,1,N,N,1042,2000,West,41821.55,4,N,0
82,EZYV4224,Asia,1,N,N,3928,1993,South,70871.72,4,Y,0
83,EZYV1356,Asia,1,Y,N,452,1987,Northeast,68427.15,4,Y,1
84,EZYV18645,Asia,3,N,N,824,1997,South,156710.51,4,Y,1
85,EZYV11277,North America,1,N,N,2979,1998,Northeast,86665.46,4,N,0
86,EZYV14342,Asia,3,Y,N,2267,2001,South,50043.22,4,Y,0
87,EZYV22555,Asia,2,N,N,1358,2000,Northeast,105570.5,4,N,1
88,EZYV12846,Europe,2,N,Y,1156,1885,West,98382.86,4,Y,1
89,EZYV10439,North America,3,Y,N,238,1999,South,141800.56,4,Y,0
90,EZYV10273,Asia,2,Y,N,623,1993,Northeast,83980.34,4,Y,1
91,EZYV21839,Africa,3,Y,N,902,2005,Northeast,68955.42,4,Y,1
92,EZYV13182,Europe,3,N,N,2991,2007,Northeast,1114.02,4,Y,0
93,EZYV14033,North America,1,Y,N,1540,1981,Northeast,265168.9,4,Y,1
94,EZYV9654,Asia,2,Y,N,1308,1962,Northeast,89567.66,4,Y,1
95,EZYV15557,Asia,3,Y,N,619,2007,South,47672.29,4,Y,0
96,EZYV25448,North America,2,Y,N,4050,1993,Midwest,117023.33,4,Y,1
97,EZYV24849,Europe,2,Y,N,610,1990,Northeast,529.5877,1,Y,1
98,EZYV12026,Asia,1,Y,N,5126,2003,West,55554.8,3,Y,0
99,EZYV3103,Asia,1,Y,N,2927,2004,Midwest,181691.66,4,Y,1
100,EZYV60,Asia,4,N,N,2624,2012,Midwest,4949.28,4,Y,1
101,EZYV20944,Asia,2,Y,N,780,1998,South,54233.53,4,Y,1
102,EZYV22986,Asia,1,N,N,906,2004,Midwest,6833.34,4,Y,0
103,EZYV16659,Asia,1,Y,N,1967,2006,South,123144.8,4,Y,1
104,EZYV1164,Asia,1,Y,N,178,2007,West,21890.62,4,Y,1
105,EZYV5555,Asia,2,Y,N,1832,1999,West,82643.89,4,Y,1
106,EZYV2459,North America,1,Y,N,3761,2006,South,91132.02,4,Y,1
107,EZYV24120,Asia,2,Y,Y,2115,1998,South,32131.51,4,Y,1
108,EZYV13798,Asia,1,N,N,1760,1997,South,94641.32,4,Y,0
109,EZYV22599,Europe,4,N,N,1402,1989,West,75841.08,4,Y,1
110,EZYV15215,North America,2,Y,Y,34,1986,West,29235.09,4,Y,1
111,EZYV18277,Asia,3,N,N,1403,2001,Midwest,302513.77,4,N,1
112,EZYV21149,North America,3,Y,N,3063,1998,Northeast,70586.26,4,Y,1
113,EZYV15728,Asia,2,N,N,1661,2011,South,39911.16,4,Y,1
114,EZYV20343,Europe,4,N,N,2406,2010,West,13008.4,4,Y,1
115,EZYV24328,Asia,2,Y,N,1890,2002,West,70953.13,4,N,0
116,EZYV14559,Asia,2,N,N,1003,1972,South,71414.91,4,N,1
117,EZYV5576,Africa,1,Y,N,1368,1963,Northeast,288.124,1,Y,0
118,EZYV20949,Asia,2,Y,N,3826,2003,Midwest,44680.62,4,Y,1
119,EZYV12528,Asia,2,Y,N,581,1991,Midwest,62203.62,4,Y,1
120,EZYV23739,Asia,3,Y,N,2725,1992,Northeast,11.3078,1,Y,0
121,EZYV6015,Asia,2,N,N,778,2009,South,91609.35,4,Y,1
122,EZYV3473,Asia,1,Y,N,1200,1970,West,68347.05,4,Y,1
123,EZYV19833,Europe,3,Y,N,1590,1924,South,148224.7,4,N,1
124,EZYV6461,Asia,2,N,N,1508,2001,South,61384.05,4,Y,1
125,EZYV12386,Asia,2,Y,N,1841,1968,Northeast,14077.58,4,Y,1
126,EZYV14215,Europe,4,N,N,4916,2001,Northeast,35335.49,4,Y,1
127,EZYV24930,North America,2,Y,N,3895,2006,Northeast,20218.04,4,Y,1
128,EZYV17104,Europe,4,Y,Y,955,1993,South,74323.45,4,Y,1
129,EZYV2147,Asia,2,Y,N,2260,1983,South,39867.49,4,Y,1
130,EZYV19413,North America,1,Y,N,2022,2007,South,7298.65,4,Y,1
131,EZYV22835,Asia,2,Y,N,2434,1993,South,145658.24,4,N,1
132,EZYV24938,Europe,1,Y,N,2413,1992,West,44629.62,4,Y,1
133,EZYV18316,Asia,1,Y,N,2384,1985,South,728.9416,1,Y,1
134,EZYV21999,Asia,2,Y,N,3998,1981,Midwest,91013.04,4,Y,1
135,EZYV7504,North America,3,N,N,465,1971,West,301.6979,1,Y,1
136,EZYV611,Asia,1,N,N,3712,1989,South,92324.91,4,Y,1
137,EZYV6550,Asia,1,Y,Y,2436,2014,South,85781.67,4,Y,1
138,EZYV24944,North America,3,N,N,2084,1987,Northeast,463.3973,1,Y,0
139,EZYV644,Asia,1,N,N,3189,1838,West,165723.2,4,Y,0
140,EZYV12510,Asia,2,Y,N,692,1994,Midwest,90161.57,4,Y,1
141,EZYV12211,Asia,1,Y,N,6698,1997,South,123092.38,4,Y,1
142,EZYV5815,Asia,1,Y,N,2814,1947,West,53790.34,4,Y,1
143,EZYV6663,Europe,3,N,Y,3275,2006,West,73380.75,4,Y,0
144,EZYV23193,Asia,3,Y,N,1800,2003,Midwest,107147.5,4,Y,1
145,EZYV19063,Asia,1,N,Y,21,1968,South,197658.08,4,Y,1
146,EZYV23634,Asia,3,Y,N,2941,1985,South,90876.86,4,N,0
147,EZYV10038,Asia,2,N,N,1777,1996,Northeast,146558.42,4,Y,1
148,EZYV15673,Europe,2,Y,Y,92770,2009,South,38035.1,4,Y,1
149,EZYV103,Asia,1,Y,N,224,2008,Midwest,80253.78,4,Y,1
150,EZYV15658,Asia,1,N,N,12749,1981,Northeast,118035.16,4,Y,1
151,EZYV17763,Europe,2,Y,N,2067,2007,West,107232.05,4,Y,1
152,EZYV22872,Asia,2,N,N,934,1977,Midwest,98278.36,4,Y,0
153,EZYV9998,Asia,1,Y,N,1273,1923,Northeast,46124.79,4,Y,0
154,EZYV11190,Asia,1,N,Y,819,1997,South,85598.66,4,Y,1
155,EZYV20479,Asia,1,N,N,1695,2005,South,56755.66,4,Y,1
156,EZYV24046,Europe,2,Y,N,5038,2007,South,34924.08,4,Y,1
157,EZYV15984,Asia,1,N,N,70082,1994,Island,100004.98,4,Y,1
158,EZYV15495,Asia,2,N,N,546,2007,Midwest,91851.79,4,Y,1
159,EZYV8558,Asia,2,N,N,2280,1989,Northeast,73699.02,4,N,1
160,EZYV16835,Asia,3,Y,N,2862,1969,West,130266.41,4,Y,0
161,EZYV12403,Asia,2,N,N,2644,2001,Northeast,23957.53,4,Y,1
162,EZYV12690,Europe,2,Y,N,1331,1924,South,96427.28,4,Y,1
163,EZYV4697,Asia,1,Y,N,2964,1919,West,137878.09,4,Y,1
164,EZYV25414,South America,2,Y,N,2423,2005,Midwest,163067.99,4,Y,1
165,EZYV24782,Asia,1,Y,N,837,1997,Northeast,242347.14,4,Y,1
166,EZYV8196,Asia,2,Y,N,647,1891,West,57108.72,4,Y,1
167,EZYV9902,Asia,1,Y,N,4015,2012,South,19338.78,4,Y,1
168,EZYV7540,Europe,1,N,N,4644,1961,Northeast,42727.59,4,Y,1
169,EZYV20672,North America,1,N,Y,29448,2011,Midwest,54284.44,4,Y,1
170,EZYV361,Asia,1,N,N,2553,2004,Midwest,68751.19,4,Y,1
171,EZYV24670,Europe,2,Y,N,3121,1983,West,27658.53,4,Y,1
172,EZYV2911,Asia,2,N,N,125501,1974,Northeast,149194.87,4,N,0
173,EZYV8959,Oceania,1,N,N,592,1994,Midwest,269645.3,4,Y,1
174,EZYV2200,Europe,4,Y,N,4909,2012,South,40084.45,4,Y,1
175,EZYV15625,Africa,2,Y,N,2002,1970,Northeast,36737.19,4,Y,1
176,EZYV22962,Asia,3,Y,N,1448,1961,South,98577.27,4,N,1
177,EZYV4140,Asia,1,Y,N,4673,1930,Island,57485.97,4,Y,1
178,EZYV3506,Asia,1,N,N,3613,2004,Northeast,475.2464,1,Y,0
179,EZYV8575,Asia,1,N,N,563,2011,South,766.8536,1,Y,0
180,EZYV19514,South America,4,N,N,1985,1989,Northeast,221498.71,4,Y,1
181,EZYV9015,Asia,1,N,N,1403,1868,Midwest,31337.34,4,N,1
182,EZYV19396,North America,3,N,N,772,1993,South,80017.28,4,Y,1
183,EZYV22054,Asia,2,N,N,3520,2002,Midwest,96568.1,4,Y,0
184,EZYV16482,Asia,2,Y,N,856,1998,South,102813.82,4,Y,1
185,EZYV24154,Asia,1,Y,N,1470,1946,Northeast,54161.55,2,Y,0
186,EZYV12253,Europe,2,N,N,195,1960,South,46856.47,4,Y,1
187,EZYV25053,Asia,2,N,N,4027,2000,Northeast,213.4232,1,Y,0
188,EZYV25066,Asia,1,Y,N,410,1990,Northeast,69251.76,4,Y,0
189,EZYV6718,Europe,1,N,N,328,2005,South,101364.9,4,N,1
190,EZYV1523,Asia,4,Y,N,802,2002,South,319.36,4,Y,1
191,EZYV17907,Asia,2,Y,N,3438,1998,West,57222.86,4,Y,1
192,EZYV22405,Asia,1,Y,N,2019,1987,Northeast,88841.0,4,Y,1
193,EZYV19806,Asia,1,N,N,1235,1949,West,12965.95,4,N,0
194,EZYV2183,Asia,1,N,N,1720,2007,Northeast,559.6169,1,Y,0
195,EZYV6276,South America,1,N,N,282,2014,Northeast,521.7731,1,Y,0
196,EZYV3497,North America,2,Y,N,5788,1904,South,126916.75,4,N,1
197,EZYV7734,Europe,4,Y,N,3670,2010,West,1820.26,4,Y,1
198,EZYV11260,Asia,1,Y,N,1586,1954,Northeast,31054.87,4,Y,0
199,EZYV4992,Europe,4,Y,N,3680,1981,Midwest,10921.36,4,Y,1
200,EZYV20743,Asia,1,N,N,265,1979,South,576.5398,1,Y,0
201,EZYV10514,Asia,2,N,N,1697,2005,Northeast,82094.8,4,N,1
202,EZYV22328,Asia,2,Y,N,2461,1831,Midwest,239600.76,4,Y,1
203,EZYV20227,Asia,3,N,N,3130,1946,Midwest,111066.9,4,Y,1
204,EZYV8604,North America,1,Y,N,3364,2001,West,8270.66,4,Y,1
205,EZYV15753,South America,3,Y,N,2516,1995,West,34293.61,4,Y,0
206,EZYV2446,Asia,3,N,Y,4241,1988,Northeast,85601.64,4,Y,0
207,EZYV3376,Europe,2,N,N,1347,1995,West,141922.07,4,Y,1
208,EZYV2951,Asia,1,Y,N,3411,2010,West,28964.08,4,Y,1
209,EZYV19769,Asia,1,Y,N,917,2001,West,42464.19,4,Y,0
210,EZYV17897,North America,4,N,N,12664,1983,Northeast,190.2601,1,Y,0
211,EZYV20689,Asia,2,N,N,1973,1949,Midwest,43609.41,4,Y,1
212,EZYV2827,North America,2,Y,N,186,2007,South,36549.77,4,Y,1
213,EZYV9810,Europe,1,Y,N,91,2012,Northeast,22228.36,4,Y,1
214,EZYV15006,Asia,3,N,N,650,1979,West,164473.31,4,Y,0
215,EZYV15474,Asia,1,Y,N,1939,1972,West,60354.14,4,Y,0
216,EZYV22976,Europe,4,N,N,1018,1954,South,488.58,4,Y,1
217,EZYV5924,Asia,1,Y,Y,2147,2010,West,504.72,4,Y,1
218,EZYV14625,North America,4,Y,N,24084,1995,Northeast,58092.99,4,Y,1
219,EZYV17166,Europe,3,N,Y,558,1984,West,192852.94,4,Y,0
220,EZYV23291,Europe,1,N,N,361,1881,South,4491.89,4,Y,1
221,EZYV16043,Asia,1,N,N,33156,2007,Northeast,45907.91,4,Y,1
222,EZYV6551,Asia,3,N,N,872,2001,Midwest,26644.41,4,Y,0
223,EZYV23547,Europe,2,N,Y,415,2011,South,238178.7,4,Y,1
224,EZYV1797,Asia,1,N,N,1695,1928,South,98700.87,4,Y,1
225,EZYV20039,North America,2,Y,N,3551,1977,Northeast,38253.91,4,Y,0
226,EZYV16239,Asia,2,Y,N,2296,1998,West,70370.46,4,Y,1
227,EZYV13050,North America,1,N,N,2647,1959,Northeast,490.1982,1,Y,1
228,EZYV18306,Asia,1,N,N,91,1980,Northeast,74455.43,4,Y,1
229,EZYV15607,Europe,1,Y,Y,1716,2004,West,16435.33,4,Y,0
230,EZYV19975,Asia,1,Y,Y,1608,1998,Midwest,46811.15,4,Y,1
231,EZYV8571,North America,3,Y,N,5734,1963,South,21159.49,4,Y,1
232,EZYV6871,South America,2,N,Y,3287,1924,West,42710.96,4,Y,1
233,EZYV20408,Europe,3,N,N,3658,1966,Northeast,4973.17,4,Y,1
234,EZYV20768,Asia,1,N,N,385,2000,West,260.945,1,Y,0
235,EZYV13495,North America,2,Y,N,5345,1910,Midwest,70715.3,4,N,1
236,EZYV17216,Asia,2,Y,N,3127,2001,West,90856.33,4,Y,0
237,EZYV23953,Asia,1,N,N,1037,2007,South,60480.29,4,Y,0
238,EZYV19948,Asia,3,N,N,4512,1994,Midwest,134604.63,4,Y,1
239,EZYV19925,North America,1,N,N,1568,1976,Northeast,27512.19,4,Y,0
240,EZYV15492,Asia,1,N,Y,1273,1948,West,210330.23,4,Y,1
241,EZYV20726,Europe,1,N,N,1139,1961,Midwest,53269.84,4,Y,1
242,EZYV15388,Asia,2,Y,N,2887,2005,West,49648.51,4,Y,1
243,EZYV16569,Asia,1,Y,N,4401,2000,West,7805.95,4,Y,1
244,EZYV11425,North America,3,Y,N,5990,2006,West,87312.49,4,Y,0
245,EZYV20031,Asia,1,N,N,1651,1859,Midwest,47736.2,4,Y,1
246,EZYV6873,Asia,1,N,Y,1258,1909,South,34928.61,4,Y,1
247,EZYV14298,Asia,2,Y,N,874,2009,West,46476.31,4,Y,1
248,EZYV4864,South America,3,Y,N,3614,1998,West,74251.85,4,Y,1
249,EZYV4752,Asia,2,Y,N,87861,1998,Northeast,76915.71,4,Y,1
250,EZYV17411,Asia,1,N,Y,908,1997,South,96934.66,4,Y,1
251,EZYV9420,Asia,1,Y,N,85,2013,Northeast,18910.85,4,Y,1
252,EZYV14881,Asia,2,N,N,2916,1963,West,20929.57,4,Y,1
253,EZYV4506,Europe,2,Y,N,2601,1928,South,64469.58,4,Y,1
254,EZYV8511,Africa,3,Y,N,3182,2006,Northeast,50090.44,4,Y,0
255,EZYV18152,Africa,2,Y,N,3911,1979,Midwest,46766.89,4,Y,1
256,EZYV25030,Europe,4,Y,N,2160,1976,West,109286.09,4,Y,0
257,EZYV6558,Asia,1,N,N,925,2013,South,295.2023,1,Y,0
258,EZYV19906,Asia,1,Y,N,1509,1963,Midwest,102680.92,4,N,1
259,EZYV2800,Asia,2,Y,Y,1236,1948,South,85624.24,4,Y,1
260,EZYV2236,North America,2,Y,N,36,1943,West,133904.24,4,Y,1
261,EZYV7956,Asia,2,Y,N,854,1992,Northeast,172331.56,4,Y,1
262,EZYV21052,Asia,2,N,N,1341,1996,South,76571.34,4,Y,1
263,EZYV15415,Oceania,3,Y,Y,3478,1998,West,116729.61,4,Y,0
264,EZYV12987,North America,2,N,N,2626,1911,South,108736.26,4,N,1
265,EZYV6389,North America,1,N,N,3995,1968,Island,86652.35,4,N,0
266,EZYV21695,Asia,1,N,N,1284,2003,South,760.319,1,Y,0
267,EZYV24867,Asia,1,Y,N,2527,2003,Northeast,59199.04,4,Y,1
268,EZYV6665,North America,2,Y,N,4196,1934,West,15417.4,4,Y,0
269,EZYV16427,Asia,1,Y,N,4719,1936,South,174949.42,4,Y,1
270,EZYV22958,North America,3,N,N,845,1999,Northeast,38091.39,4,Y,0
271,EZYV3215,Asia,1,N,N,438,1991,Midwest,22235.8,4,Y,0
272,EZYV13183,Asia,1,Y,N,9349,2004,South,341.7415,1,Y,0
273,EZYV14385,Asia,1,N,N,971,2009,South,130409.82,4,Y,1
274,EZYV18985,Asia,2,Y,N,1997,1993,Midwest,172510.9,4,Y,1
275,EZYV8029,Asia,2,N,N,1375,1981,South,702.3692,1,Y,1
276,EZYV17504,Asia,1,N,N,141,1858,West,117476.5,4,Y,1
277,EZYV18399,Asia,1,Y,N,1354,1977,West,137296.22,4,Y,0
278,EZYV7406,Asia,1,N,N,3917,1960,West,41589.69,4,Y,0
279,EZYV8466,Asia,2,Y,N,94579,2004,Midwest,188121.77,4,Y,1
280,EZYV17967,Asia,2,Y,N,3256,2006,Midwest,108873.34,4,Y,1
281,EZYV4025,Asia,1,N,N,770,2004,West,142920.03,4,N,0
282,EZYV8407,South America,1,N,N,3956,2004,Northeast,58380.43,4,Y,0
283,EZYV22984,Asia,2,N,N,3484,2003,Midwest,42988.75,4,Y,1
284,EZYV13813,Europe,1,N,N,2295,1911,West,38038.5,4,Y,1
285,EZYV14740,Europe,1,N,N,2504,1998,South,127260.07,4,Y,0
286,EZYV24984,Africa,1,Y,Y,3510,1978,Northeast,85864.24,4,Y,1
287,EZYV10466,Europe,2,N,N,3037,2001,Midwest,89506.69,2,Y,1
288,EZYV1749,Asia,2,Y,N,1690,1823,South,23753.01,4,Y,1
289,EZYV11224,Asia,3,N,N,1999,1919,South,43084.33,4,Y,0
290,EZYV585,Asia,3,N,Y,940,2001,South,75815.39,4,Y,1
291,EZYV21682,Europe,2,N,N,4875,2006,West,25308.01,4,Y,1
292,EZYV20713,North America,1,N,N,3820,1998,West,163256.18,4,N,0
293,EZYV12222,Asia,4,N,N,10738,1853,Midwest,46727.57,4,Y,1
294,EZYV22248,Asia,1,N,N,1129,1919,Midwest,32941.65,4,Y,1
295,EZYV2645,Asia,2,Y,N,6755,1853,South,30147.57,4,Y,1
296,EZYV2316,North America,3,Y,Y,120,2012,Northeast,45079.13,4,Y,1
297,EZYV20219,Europe,2,Y,N,1508,2005,West,25774.3,4,Y,1
298,EZYV17560,North America,2,N,N,587,2007,South,177119.9,4,Y,0
299,EZYV16804,Asia,1,Y,N,368,1995,South,77078.61,4,Y,1
300,EZYV13619,Asia,2,Y,N,587,2001,South,61743.36,4,Y,1
301,EZYV9001,Asia,2,N,N,11928,1998,Northeast,251.8984,1,Y,1
302,EZYV22579,Europe,2,N,N,1129,1840,West,163294.02,4,N,1
303,EZYV4014,Asia,2,Y,N,3781,1994,Northeast,81775.16,4,Y,1
304,EZYV17754,Asia,3,N,N,1560,1987,Northeast,171921.87,4,N,0
305,EZYV696,Europe,1,N,N,5980,1986,Northeast,106725.35,4,Y,1
306,EZYV13364,Asia,1,N,N,2341,2006,Midwest,67009.51,4,Y,1
307,EZYV11754,Asia,1,Y,N,705,1960,West,97688.72,4,Y,0
308,EZYV1021,Europe,4,N,N,3031,2013,West,21110.82,4,Y,1
309,EZYV5972,Asia,1,Y,N,4848,2010,West,96126.21,4,Y,1
310,EZYV1534,North America,1,Y,N,5661,1989,West,143857.62,4,Y,1
311,EZYV3519,Asia,2,N,N,3795,2006,Northeast,743.4468,1,Y,0
312,EZYV484,North America,4,Y,N,2691,2014,Northeast,27471.41,4,Y,1
313,EZYV10213,South America,3,Y,N,150963,1979,West,17824.17,4,Y,0
314,EZYV13784,Asia,4,Y,N,2293,2002,Midwest,65184.47,4,Y,1
315,EZYV7998,Asia,1,Y,N,741,2007,West,149476.72,4,Y,0
316,EZYV2713,Asia,1,N,N,3529,2007,South,100989.94,4,Y,0
317,EZYV7305,Europe,2,Y,N,2789,1999,West,72112.74,4,Y,1
318,EZYV15717,Asia,2,N,N,5397,1971,South,156385.87,4,Y,1
319,EZYV8296,Asia,2,N,N,2525,1892,South,171075.49,4,N,1
320,EZYV10816,Europe,4,Y,N,2687,1998,Northeast,27874.08,4,Y,1
321,EZYV6975,Asia,1,N,N,2319,2010,West,44321.76,4,N,0
322,EZYV10216,Asia,2,N,N,1904,1990,Northeast,999.9195,1,Y,0
323,EZYV21757,Asia,1,N,N,362,1986,Northeast,537.9665,1,Y,0
324,EZYV6530,Asia,2,Y,N,2071,1991,South,97268.82,4,Y,1
325,EZYV23299,Europe,1,N,N,44382,1950,Midwest,21838.7,4,Y,1
326,EZYV15443,Asia,1,Y,N,1331,1904,Northeast,27255.56,4,Y,1
327,EZYV22345,Asia,2,N,N,472,1963,Northeast,70120.86,4,Y,0
328,EZYV12919,Europe,1,Y,N,3112,1980,Northeast,18071.68,4,Y,1
329,EZYV21847,Asia,1,Y,N,1495,2005,Midwest,85822.84,4,Y,1
330,EZYV12275,Asia,1,Y,N,23581,1976,South,49388.25,4,Y,0
331,EZYV16040,Asia,2,N,N,1829,1966,West,124851.97,4,Y,0
332,EZYV9656,South America,2,Y,N,3996,1847,Midwest,4530.64,4,Y,1
333,EZYV5181,Europe,3,Y,N,1599,1996,South,50155.2,4,Y,0
334,EZYV3948,Asia,2,N,N,84160,1988,West,111449.17,4,Y,0
335,EZYV16066,Europe,1,Y,N,3114,1902,Midwest,157624.89,4,Y,1
336,EZYV3285,Asia,1,Y,N,51222,1979,Northeast,554.7338,1,Y,1
337,EZYV4270,Europe,3,N,N,3902,1970,Northeast,44357.05,4,Y,0
338,EZYV15801,Asia,2,N,N,707,2008,South,161238.43,4,Y,1
339,EZYV21660,Europe,1,Y,Y,1934,1995,South,91296.43,4,Y,1
340,EZYV1625,Europe,4,Y,N,653,2013,West,71986.75,4,Y,1
341,EZYV7199,Asia,2,N,N,2813,1875,South,139660.26,4,Y,1
